Data,TempC
44285,24.9
44285.04167,23.6
44285.08333,22.7
44285.125,22.2
44285.16667,21.2
44285.20833,20.6
44285.25,20.6
44285.29167,20
44285.33333,20.2
44285.375,20.3
44285.41667,20.3
44285.45833,15.9
44285.5,13.6
44285.54167,13.9
44285.58333,14.2
44285.625,13.5
44285.66667,14
44285.70833,14.8
44285.75,16.2
44285.79167,17.8
44285.83333,19.1
44285.875,20.1
44285.91667,20.3
44285.95833,19.4
44286,17.8
44286.04167,15.9
44286.08333,14
44286.125,12.9
44286.16667,11.7
44286.20833,10.9
44286.25,10.5
44286.29167,9.2
44286.33333,8.8
44286.375,8
44286.41667,7.2
44286.45833,6.9
44286.5,6.7
44286.54167,7.1
44286.58333,9.6
44286.625,12.1
44286.66667,14.6
44286.70833,16.4
44286.75,17.7
44286.79167,18.4
44286.83333,19.1
44286.875,19.5
44286.91667,19.5
44286.95833,19.3
44287,18.1
44287.04167,16
44287.08333,14.2
44287.125,14.1
44287.16667,13.4
44287.20833,12.7
44287.25,11.9
44287.29167,11.3
44287.33333,10.6
44287.375,10
44287.41667,10.3
44287.45833,9.3
44287.5,8.5
44287.54167,8.8
44287.58333,10.4
44287.625,13.1
44287.66667,15.7
44287.70833,16.8
44287.75,17.7
44287.79167,19.1
44287.83333,19.7
44287.875,19.7
44287.91667,19.1
44287.95833,18.7
44288,18.7
44288.04167,17.5
44288.08333,16.3
44288.125,15.8
44288.16667,14.9
44288.20833,13.7
44288.25,12.6
44288.29167,11.9
44288.33333,11.6
44288.375,11.1
44288.41667,10.9
44288.45833,11
44288.5,10.7
44288.54167,10.7
44288.58333,10.9
44288.625,10.5
44288.66667,11
44288.70833,11.2
44288.75,12
44288.79167,12.9
44288.83333,13.6
44288.875,15
44288.91667,16.2
44288.95833,15.9
44289,15.8
44289.04167,15.2
44289.08333,15.2
44289.125,15.1
44289.16667,14.5
44289.20833,14.1
44289.25,13.8
44289.29167,13.5
44289.33333,13.1
44289.375,12.8
44289.41667,12.6
44289.45833,12.3
44289.5,12.2
44289.54167,12.2
44289.58333,12.6
44289.625,12.9
44289.66667,13.7
44289.70833,16
44289.75,16.5
44289.79167,18
44289.83333,18.3
44289.875,20.3
44289.91667,20.3
44289.95833,20.6
44290,20.6
44290.04167,19.5
44290.08333,18.2
44290.125,17.4
44290.16667,16.5
44290.20833,15.6
44290.25,14.4
44290.29167,14.3
44290.33333,13.6
44290.375,13.8
44290.41667,14.1
44290.45833,14.2
44290.5,14.4
44290.54167,14.4
44290.58333,15.1
44290.625,16.2
44290.66667,17.5
44290.70833,19.2
44290.75,21.7
44290.79167,22.6
44290.83333,23.4
44290.875,24.1
44290.91667,23.8
44290.95833,23.9
44291,23.8
44291.04167,22.2
44291.08333,21.1
44291.125,19.8
44291.16667,18.7
44291.20833,18.1
44291.25,18.1
44291.29167,18.1
44291.33333,18.1
44291.375,17.5
44291.41667,18
44291.45833,18.3
44291.5,18.3
44291.54167,18.2
44291.58333,18.4
44291.625,19.1
44291.66667,20.5
44291.70833,23.1
44291.75,25
44291.79167,26.1
44291.83333,27.5
44291.875,28.5
44291.91667,28.8
44291.95833,28.4
44292,26.8
44292.04167,24.6
44292.08333,22.9
44292.125,21.7
44292.16667,21
44292.20833,20.6
44292.25,20.3
44292.29167,20.2
44292.33333,20.4
44292.375,20.4
44292.41667,20.3
44292.45833,20.4
44292.5,20.5
44292.54167,20.4
44292.58333,20.6
44292.625,21.9
44292.66667,22.9
44292.70833,24.6
44292.75,26.8
44292.79167,27.4
44292.83333,27.5
